GraphID,NumNodes,NumEdges,MaxPossibleEdges,DensityCategory,DensityValue,MatrixCreationTime_ms,ListCreationTime_ms,Matrix_Exec_Time_ms,List_Exec_Time_ms,Algorithm,Algorithm_Name,Algorithm_Type_Code,Best_Representation
g_dfs_500_Sparse_4,500,6237.0,124750.0,Sparse,0.0499959919839679,1.543041998957051,0.139666000904981,14.165841400244972,0.1444249999622116,DFS,DFS,1,1
g_dfs_500_Sparse_5,500,6237.0,124750.0,Sparse,0.0499959919839679,1.6077500004030298,0.1515410003776196,14.074041799540282,0.1597084003151394,DFS,DFS,1,1
g_dfs_500_Medium_1,500,31187.0,124750.0,Medium,0.2499959919839679,7.380582999758189,0.4732080014946405,14.391616599459669,0.660308200167492,DFS,DFS,1,1
g_dfs_500_Medium_2,500,31187.0,124750.0,Medium,0.2499959919839679,7.706374999543186,0.5175000005692709,14.56642519988236,0.6530748007207876,DFS,DFS,1,1
g_dfs_500_Medium_3,500,31187.0,124750.0,Medium,0.2499959919839679,7.066542000757181,0.4422499987413175,14.548441599617943,0.6697667999105761,DFS,DFS,1,1
g_dfs_500_Medium_4,500,31187.0,124750.0,Medium,0.2499959919839679,7.131833001039922,0.4677079996326938,14.34210039988102,0.6499084003735334,DFS,DFS,1,1
g_dfs_500_Medium_5,500,31187.0,124750.0,Medium,0.2499959919839679,7.295584000530653,0.4756670005008345,14.51434979971964,0.6644328001129907,DFS,DFS,1,1
g_dfs_500_Dense_1,500,74850.0,124750.0,Dense,0.6,17.093083000872866,0.9630410004319856,15.07367539961706,1.4882252002280438,DFS,DFS,1,1
g_dfs_500_Dense_2,500,74850.0,124750.0,Dense,0.6,17.445166999095818,1.0193749985774048,15.278008400127874,1.503574999151169,DFS,DFS,1,1
g_dfs_500_Dense_3,500,74850.0,124750.0,Dense,0.6,17.07979200000409,0.9945420006260974,15.29055859973596,1.5354253999248613,DFS,DFS,1,1
g_dfs_500_Dense_4,500,74850.0,124750.0,Dense,0.6,17.621542001506896,1.0240829997201215,15.29909960081568,1.5209334003884578,DFS,DFS,1,1
g_dfs_500_Dense_5,500,74850.0,124750.0,Dense,0.6,17.580707999513834,1.0343750000174623,15.36912499977916,1.5279745999578154,DFS,DFS,1,1
g_getneigh_10_Sparse_1,10,9.0,45.0,Sparse,0.2,0.095417000920861,0.0035829998523695,0.0006239165004444,2.00829999812413e-05,GetNeighbors,GetNeighbors,2,1
g_getneigh_10_Sparse_2,10,9.0,45.0,Sparse,0.2,0.0202920000447193,0.0021660016500391,0.0006174375002956,2.0000000404252205e-05,GetNeighbors,GetNeighbors,2,1
g_getneigh_10_Sparse_3,10,9.0,45.0,Sparse,0.2,0.0195419997908175,0.0024580003810115,0.0005983544997434,1.9999999494757503e-05,GetNeighbors,GetNeighbors,2,1
g_getneigh_10_Sparse_4,10,9.0,45.0,Sparse,0.2,0.0112090001493925,0.001582999175298,0.0006311249999271,2.0375000531203113e-05,GetNeighbors,GetNeighbors,2,1
g_getneigh_10_Sparse_5,10,9.0,45.0,Sparse,0.2,0.0262910016317619,0.0027499991119839,0.0007092915002431,2.2145499315229245e-05,GetNeighbors,GetNeighbors,2,1
